Fecha_venta,Coordenadas,Piso,Tipo,M2,Valor_M2,Precio_lista,Precio_venta,Canje,Valor_canje,M2_canje,Estado_obra
9/6/2022,"-32.9418530, -60.6646884",7,1,53,1301.89,79000.00,69000.00,0,,,4
21/6/2022,"-32.9592776, -60.6312559",-1,-2,12.5,1144.84,15000.00,14310.55,1,14248.97,45.334,1
21/6/2022,"-32.9592776, -60.6312559",9,1,47,1260.14,62080.00,59226.59,1,53576.14,45.2,1
21/6/2022,"-32.9592776, -60.6312559",4,0,37,1211.71,46990.00,44833.20,0,,,1
21/6/2022,"-32.9592776, -60.6312559",9,2,86.5,1228.18,111356.00,106237.69,1,98602.90,83.19,1
21/6/2022,"-32.9592776, -60.6312559",4,1,47,1260.23,62080.00,59230.58,0,,,1
21/6/2022,"-32.9592776, -60.6312559",-1,-2,12.5,1144.92,15000.00,14311.51,0,,,1
21/6/2022,"-32.9592776, -60.6312559",6,2,86.5,1186.72,107590.00,102651.71,0,,,1
21/6/2022,"-32.9592776, -60.6312559",-1,-2,12.5,1144.92,15000.00,14311.51,0,,,1
21/6/2022,"-32.9592776, -60.6312559",9,0,37,1211.63,46990.00,44830.18,1,42176.96,35.58,1
21/6/2022,"-32.9592776, -60.6312559",4,2,86.5,1186.72,107590.00,102651.71,0,,,1
21/6/2022,"-32.9592776, -60.6312559",6,0,37,1211.71,46990.00,44833.20,0,,,1
21/6/2022,"-32.9592776, -60.6312559",6,1,47,1260.23,62080.00,59230.58,0,,,1
30/6/2022,"-32.9521903, -60.6306774",-1,-2,12.5,1360.00,17000.00,17000.00,0,,,4
30/6/2022,"-32.9463111, -60.6617054",7,2,77,1415.58,112805.00,109000.00,0,,,2
30/6/2022,"-32.9508122, -60.6558817",1,2,100,1370.00,145000.00,137000.00,1,37000.00,38,4
8/7/2022,"-32.9380520, -60.6605126",0,-2,12.5,1141.62,16500.00,14270.27,0,,,4
8/7/2022,"-32.9380520, -60.6605126",7,1,48.85,1345.54,76000.00,65729.73,0,,,4
22/7/2022,"-32.9427243, -60.6463481",12,1,52,1393.06,77300.00,72439.03,0,,,4
26/7/2022,"-32.9463111, -60.6617054",2,1,47.5,1204.21,60000.00,57200.00,0,,,3
26/7/2022,"-32.9463111, -60.6617054",7,2,63.5,1200.99,105000.00,76263.16,0,,,3
26/7/2022,"-32.9463111, -60.6617054",-1,-2,12.5,1074.95,18500.00,13436.84,0,,,3
27/7/2022,"-32.9427243, -60.6463481",3,0,42.5,1058.82,58000.00,45000.00,0,,,4
29/7/2022,"-32.9492189, -60.6563527",-1,-1,3,833.33,3000.00,2500.00,0,,,4
4/8/2022,"-32.9521115, -60.6306584",0,-2,12.5,1400.00,17500.00,17500.00,0,,,4
5/8/2022,"-32.9384479, -60.6414404",0,-2,11,1170.05,12870.00,12870.50,0,,,1
5/8/2022,"-32.9384479, -60.6414404",0,-2,11,1170.05,12870.00,12870.50,0,,,1
5/8/2022,"-32.9384479, -60.6414404",4,2,84,1194.16,100309.00,100309.49,1,71459.50,47.25,1
5/8/2022,"-32.9384479, -60.6414404",5,2,84,1206.23,141000.00,101323.17,1,71459.50,47.25,1
5/8/2022,"-32.9384479, -60.6414404",2,2,84,1121.79,94230.00,94230.40,1,71459.50,47.25,1
5/8/2022,"-32.9384479, -60.6414404",3,2,84,1157.98,97269.00,97269.94,1,71459.50,47.25,1
5/8/2022,"-32.9384479, -60.6414404",5,3,147,1186.56,174423.00,174423.59,1,64225.11,42.46,1
5/8/2022,"-32.9384479, -60.6414404",0,-2,11,1096.47,12061.00,12061.14,1,4805.96,3.17,1
5/8/2022,"-32.9384479, -60.6414404",0,-2,11,1096.47,12061.00,12061.14,1,4805.96,3.17,1
5/8/2022,"-32.9384479, -60.6414404",0,-2,11,1096.47,12061.00,12061.14,1,4805.96,3.17,1
12/8/2022,"-32.9430399, -60.6358630",1,3,183,1165.06,329400.00,213205.46,1,130774.47,102.65,2
12/8/2022,"-32.9430399, -60.6358630",-1,-2,11,1157.93,20000.00,12737.27,1,7860.76,6.17,2
12/8/2022,"-32.9430399, -60.6358630",-1,-2,11,1157.93,20000.00,12737.27,1,7860.76,6.17,2
12/8/2022,"-32.9430399, -60.6358630",2,3,145,1354.32,239252.00,196376.47,1,134920.73,106.09,2
12/8/2022,"-32.9430399, -60.6358630",-1,-2,11,1156.57,20000.00,12722.30,1,10235.36,45.390,2
12/8/2022,"-32.9430399, -60.6358630",2,2,79,1295.61,136000.00,102352.94,1,73508.53,57.8,2
12/8/2022,"-32.9430399, -60.6358630",-1,-2,11,1156.57,20000.00,12722.30,1,10235.36,45.390,2
16/8/2022,"-32.9430399, -60.6358630",-1,-2,11,1158.07,18000.00,12738.74,1,10988.63,8.52,2
16/8/2022,"-32.9430399, -60.6358630",5,2,81,1265.25,129435.00,102485.26,1,80916.32,62.75,2
16/8/2022,"-32.9430399, -60.6358630",-1,-2,11,1158.07,18000.00,12738.74,1,10988.63,8.52,2
16/8/2022,"-32.9430399, -60.6358630",5,2,79,1297.28,129435.00,102485.26,1,78918.39,61.2,2
16/8/2022,"-32.9468885, -60.6623848",7,0,38,1153.53,46000.00,43834.05,1,37053.38,25.96,1
16/8/2022,"-32.9468885, -60.6623848",4,0,38,1153.53,51000.00,43834.05,1,37053.38,25.96,1
16/8/2022,"-32.9468885, -60.6623848",-1,-2,12.5,1090.13,14300.00,13626.67,1,12188.61,8.54,1
16/8/2022,"-32.9468885, -60.6623848",4,1,52,1227.79,60000.00,63845.24,1,50704.62,35.53,1
18/8/2022,"-32.9430399, -60.6358630",2,3,145,1600.00,239252.00,232000.00,0,,,2
22/8/2022,"-32.9427243, -60.6463481",5,0,42.5,1223.53,58500.00,52000.00,0,,,4
22/8/2022,"-32.9406848, -60.6551035",-1,-2,15.69,1083.49,20000.00,17000.00,0,,,4
25/8/2022,"-32.9463111, -60.6617054",7,1,52.5,1290.00,73500.00,67725.00,0,,,3
31/8/2022,"-32.9531147, -60.6413840",0,-2,12.5,1164.17,17000.00,14552.16,0,,,4
31/8/2022,"-32.9463111, -60.6617054",6,1,52.5,1198.41,73500.00,62916.71,0,,,3
31/8/2022,"-32.9531147, -60.6413840",8,0,38.5,1100.58,49500.00,42372.48,0,,,4
31/8/2022,"-32.9531147, -60.6413840",8,1,49.5,1175.93,68000.00,58208.65,0,,,4
31/8/2022,"-32.9384479, -60.6414404",0,-2,11,1386.18,17500.00,15247.98,0,,,1
31/8/2022,"-32.9430399, -60.6358630",-1,-2,11,1411.53,17820.00,15526.80,0,,,2
31/8/2022,"-32.9384479, -60.6414404",5,2,83.5,1386.69,132890.00,115788.80,0,,,1
31/8/2022,"-32.9430399, -60.6358630",2,2,81,1265.02,117600.00,102466.42,0,,,2
13/9/2022,"-32.9427243, -60.6463481",4,0,42.5,1176.47,55000.00,50000.00,0,,,4
30/9/2022,"-32.9521903, -60.6306774",8,2,71,1348.91,95772.00,95772.36,0,,,4
30/9/2022,"-32.9521903, -60.6306774",0,-2,12.5,1138.21,14227.00,14227.64,0,,,4
30/9/2022,"-32.9384479, -60.6414404",3,2,83.5,1450.20,121091.00,121091.63,0,,,1
30/9/2022,"-32.9384479, -60.6414404",0,-2,11,1582.58,17408.00,17408.37,0,,,1
30/9/2022,"-32.9430399, -60.6358630",-1,-1,3.2,906.25,2900.00,2900.00,0,,,2
30/9/2022,"-32.9430399, -60.6358630",-1,-2,11,1574.23,17820.00,17316.53,0,,,2
30/9/2022,"-32.9427243, -60.6463481",7,1,52,1423.08,74000.00,74000.00,0,,,4
30/9/2022,"-32.9430399, -60.6358630",8,2,78,1700.56,132643.00,132643.47,0,,,2
5/10/2022,"-32.9463111, -60.6617054",5,1,58.5,1388.89,85703.00,81250.00,0,,,3
6/10/2022,"-32.9427243, -60.6463481",4,1,52,1269.23,73000.00,66000.00,0,,,4
11/10/2022,"-32.9427243, -60.6463481",10,1,52,1423.08,79500.00,74000.00,0,,,4
13/10/2022,"-32.9427243, -60.6463481",6,1,52,1346.15,77000.00,70000.00,0,,,4
14/10/2022,"-32.9384479, -60.6414404",0,-2,11,1325.37,14579.00,14579.12,0,,,1
14/10/2022,"-32.9384479, -60.6414404",4,2,82,1307.33,107200.00,107200.88,0,,,1
16/10/2022,"-32.9468885, -60.6623848",3,0,38,1162.58,42500.00,44178.00,0,,,1
17/10/2022,"-32.9384479, -60.6414404",2,2,83,1250.00,122346.00,103750.00,0,,,1
17/10/2022,"-32.9465263, -60.6603753",9,1,51,1274.51,72000.00,65000.00,0,,,4
18/10/2022,"-32.9384479, -60.6414404",7,1,63,993.18,75676.00,62570.49,1,47503.09,,1
18/10/2022,"-32.9384479, -60.6414404",0,-2,11,1390.56,18500.00,15296.19,1,8294.19,,1
18/10/2022,"-32.9384479, -60.6414404",4,2,83,1297.40,130239.00,107684.32,1,62583.43,,1
18/10/2022,"-32.9384479, -60.6414404",0,-2,11,1374.70,18500.00,15121.69,1,12203.30,8.34,1
18/10/2022,"-32.9384479, -60.6414404",9,3,167,1226.08,250500.00,204755.81,1,185268.31,126.67,1
18/10/2022,"-32.9384479, -60.6414404",0,-2,11,1374.70,18500.00,15121.69,1,12203.30,8.34,1
21/10/2022,"-32.9463111, -60.6617054",-1,-2,12.5,1184.00,15500.00,14800.00,0,,,3
21/10/2022,"-32.9427243, -60.6463481",5,1,52,1307.69,77000.00,68000.00,0,,,4
26/10/2022,"-32.9569221, -60.6464130",3,0,37.7,1193.63,56000.00,45000.00,0,,,4
8/11/2022,"-32.9492189, -60.6563527",-1,-1,3,833.33,3000.00,2500.00,0,,,4
8/11/2022,"-32.9492189, -60.6563527",-1,-1,3,833.33,3000.00,2500.00,0,,,4
8/11/2022,"-32.9430399, -60.6358630",-1,-2,11,1481.82,20790.00,16300.00,0,,,2
15/11/2022,"-32.9531147, -60.6413840",3,0,38.5,1168.03,48800.00,44969.00,0,,,4
16/11/2022,"-32.9492189, -60.6563527",0,-1,3,833.33,3000.00,2500.00,0,,,4
16/11/2022,"-32.9492189, -60.6563527",-1,-1,3,833.33,3000.00,2500.00,0,,,4
16/11/2022,"-32.9492189, -60.6563527",0,-1,3,833.33,3000.00,2500.00,0,,,4
16/11/2022,"-32.9492189, -60.6563527",0,-1,3,833.33,3000.00,2500.00,0,,,4
16/11/2022,"-32.9492189, -60.6563527",0,-1,3,833.33,3000.00,2500.00,0,,,4
